"cl1","cl2","cl3","cl4","cl5","cl6","cl7"
NA,NA,NA,"NOSIP","VPS53","PSAP",NA
NA,NA,NA,"UROD","MED13L","PDIA6",NA
NA,NA,NA,"TAF7","UTRN","WSB1",NA
NA,NA,NA,"YTHDC1","NSMCE2","IQGAP1",NA
NA,NA,NA,"LY6K","ZNF609","PDZRN3",NA
NA,NA,NA,"DAAM1","C2CD3","PDIA4",NA
NA,NA,NA,"RTF2","PARD3","CKAP4",NA
NA,NA,NA,"TOX4","MTHFD1L","CCN1",NA
NA,NA,NA,"YBX3","RAPGEF2","SCARB2",NA
NA,NA,NA,"HBEGF","PDGFC","EIF4G3",NA
NA,NA,NA,"SERP1","CACNA2D1","ANTXR2",NA
NA,NA,NA,"ACBD3","BMPER","P4HA1",NA
NA,NA,NA,"GYG1","EHBP1","SLC2A1",NA
NA,NA,NA,"LINC02392","HIF1A-AS3","TMED10",NA
NA,NA,NA,"BEX1","TBC1D22A","TIMP2",NA
NA,NA,NA,"GOLGA7","SPIRE1","C3",NA
NA,NA,NA,"GET3","LCOR","LAMP2",NA
NA,NA,NA,"ST13","UBR3","KLF7",NA
NA,NA,NA,"MED8","ASAP1","VASN",NA
NA,NA,NA,"RBBP6","PTK2","BMP1",NA
NA,NA,NA,"ETNK1","FOXN3","MMP1",NA
NA,NA,NA,"WBP2","PPP6R3","MEIS1",NA
NA,NA,NA,"EIF3I","SMURF2","MYOF",NA
NA,NA,NA,"SAT2","PPP3CA","ZMPSTE24",NA
NA,NA,NA,"SNHG5","PRR16","SBF2",NA
NA,NA,NA,"PHACTR4","HMGA2","SIK3",NA
NA,NA,NA,"TMEM126B","SSBP2","STC1",NA
NA,NA,NA,"TUSC2","IQCJ-SCHIP1","EIF4G1",NA
NA,NA,NA,"BRD2","TNKS","DSP",NA
NA,NA,NA,"MED21","STAG1","CLMP",NA
NA,NA,NA,"CHMP1B","ZFAND3","SLFN5",NA
NA,NA,NA,"MRPS23","FTO","ANTXR1",NA
NA,NA,NA,"PLIN2","FER","FTX",NA
NA,NA,NA,"ZMAT3","ATXN2","ACSL3",NA
NA,NA,NA,"C5orf51","COG5","CD46",NA
NA,NA,NA,"RAB21","HDAC9","SLC39A6",NA
NA,NA,NA,"PFDN2","ZFHX3","ATP2C1",NA
NA,NA,NA,"TIMMDC1","ADAM12","FNDC3B",NA
NA,NA,NA,"ATP6V0D1","MEIS2","NRP2",NA
NA,NA,NA,"ATP6V0C","PCNX1","CTSS",NA
NA,NA,NA,"COPS8","DLC1","TMED5",NA
NA,NA,NA,"ATF4","BRAF","ITGA3",NA
NA,NA,NA,"MRPL2","PHF21A","UGCG",NA
NA,NA,NA,"BLVRB","TANC1","EGFR",NA
NA,NA,NA,"BCCIP","RAB3GAP2","SH3RF3",NA
NA,NA,NA,"ATG101","FBXW11","TM9SF2",NA
NA,NA,NA,"KRR1","UBE2E2","GJC1",NA
NA,NA,NA,"CYSTM1","RUSC2","TBC1D5",NA
NA,NA,NA,"AKR1A1","ARHGAP42","CLTC",NA
NA,NA,NA,"SNX9","RERE","TRAM1",NA
NA,NA,NA,"UQCRC2","GRK5","SMAD3",NA
NA,NA,NA,"UBE2S","ASCC3","NFKB1",NA
NA,NA,NA,"ZNF706","PDSS2","PRKCSH",NA
NA,NA,NA,"TERF2IP","JARID2","NECTIN3",NA
NA,NA,NA,"IGBP1","CUX1","TXNDC5",NA
NA,NA,NA,"MARCKSL1","AKT3","HUWE1",NA
NA,NA,NA,"MRPL21","TMEM131","CALU",NA
NA,NA,NA,"TFDP2","PSD3","VEGFC",NA
NA,NA,NA,"MRPL33","MYO1D","EXT1",NA
NA,NA,NA,"NUDT4","LMO7","PAM",NA
NA,NA,NA,"EIF3D","DLG1","FADS2",NA
NA,NA,NA,"GNAI1","MKLN1","ADAMTS2",NA
NA,NA,NA,"UBE2D3","STRN3","UTRN",NA
NA,NA,NA,"MTHFD2","ZBTB20","BACH1",NA
NA,NA,NA,"ISCU","RASA1","ST3GAL1",NA
NA,NA,NA,"LGALS3","FARP1","TPP1",NA
NA,NA,NA,"C6orf62","WNT5B","JARID2",NA
NA,NA,NA,"SNHG29","SMURF1","MT-CYB",NA
NA,NA,NA,"NEU1","SBF2","MT-ND4L",NA
