Mixture	myCAF	SLC14A1+ FB	AP-1+ FB	PI16+ FB	ISG+ FB	dCAF	FRC	ASPN+ FB	SMC	Pericytes	Urothelial	P-value	Correlation	RMSE	Absolute score (sig.score)
U0092	0.32710975000171	0.181958076161231	0.125330260696768	0.108266727957307	0.0835874146094226	0.0572428199207495	0.0698947730430803	0.0201232728054864	0.248299086946864	0.150260719570356	0.00946709828702487	9999	0.0919542913758502	1.00081735604976	1.38154
U0093	0.505847108900321	0.242051526129501	0.193801835493057	0.17642668309787	0.104256917593931	0.0908958567460121	0.0563897286666977	0.0342603328493327	0.366249830237292	0.222554911475815	0.0179652688101702	9999	0.0804060332139795	1.00233478080579	2.0107
U0094	0.336071644258071	0.202408152192097	0.120296488578491	0.102580416404969	0.0720117326364185	0.033562446364405	0.0375367785822311	0.0230572756717333	0.233278404850564	0.144154085458178	0.0100425750028429	9999	0.114311101791488	1.00096148901678	1.315
U0095	0.321722666155355	0.177529378135732	0.120090751612366	0.105523536900442	0.0831002644757698	0.0425421120811664	0.033120496422924	0.0234870883502237	0.230927269258136	0.148154004996816	0.0129424316110679	9999	0.11818775898172	1.00111956721978	1.29914
U0099	0.632133320062499	0.344549731740785	0.2200979283222	0.211171225923549	0.111812294033397	0.128316235454306	0.0748538799429384	0.0449374737676441	0.448187752752949	0.284933374004294	0.0177167839954392	9999	0.163756154479596	0.997446530944217	2.51871
U0100	0.305759265410224	0.170496577293324	0.109811632729528	0.102056284995954	0.0685666382492393	0.0295836304806392	0.0445368933499216	0.0196974945439806	0.22628620503726	0.133478617478011	0.00961676043191909	9999	0.137899215280911	1.00068453391914	1.21989
U0102	0.227953882898032	0.117129277942989	0.0852872126001882	0.0743567296875	0.0520581469760623	0.0251855698574917	0.0265471790595494	0.0159120874722031	0.162718122593466	0.101848983159526	0.00820280775299155	9999	0.106999225007659	1.00226757383061	0.8972
U0104	0.370982996348005	0.172701233592706	0.142928492674437	0.132447548612144	0.0746512477615246	0.0731543562966286	0.0345686406435549	0.0277427532738551	0.268398753982974	0.162262689091659	0.0116812877225119	9999	0.0658351382224081	1.00288747112709	1.47152
U0105	0.161943603649628	0.0904990481480162	0.061799075741344	0.0576088359868252	0.0468556964999791	0.0366497660560279	0.022269719809098	0.0123424450259937	0.126041920003378	0.0744456811593757	0.00609720792033425	9999	0.0698093179338307	1.00175439933414	0.696553
U0106	0.132594349087057	0.0629883610831505	0.0503092453022371	0.0458285197982769	0.0267261998770595	0.0192627437631784	0.012095424872981	0.00911708121705439	0.0940167305675072	0.058851186956646	0.0041681574748516	9999	0.082961176775589	1.00308168009454	0.515958
U0109	0.414440408449043	0.208837622289984	0.17380233654225	0.132226464330948	0.100079540960983	0.074984595061101	0.0433420159877381	0.029506036720282	0.291645032919581	0.196005283004105	0.015260663733984	9999	0.106056690263421	1.00075241188377	1.68013
U0110	0.167161790654371	0.0870946301238422	0.0637085563854023	0.0582849493786683	0.0362067383211617	0.044855587630207	0.0180331271996379	0.0129311702957665	0.126610726903817	0.0752437837673152	0.00678393933981063	9999	0.0623561620358292	1.00196468282852	0.696915
U0114	0.683426460914478	0.376652644822332	0.232152103129335	0.26682464002487	0.133511093412768	0.0995327206205381	0.0862493436380405	0.0481745172026869	0.501897469547884	0.305301974569258	0.0194470321178101	9999	0.114047614424255	1.00132504787	2.75317
U0115	0.449666051449226	0.282517647066554	0.158820810328712	0.157213881423562	0.0985162269573478	0.0458319634798984	0.0539026410870955	0.0324274712833728	0.322520672977876	0.198298365881326	0.0132242680650301	9999	0.106067329308214	1.00114818808695	1.81294
U0117	0.202896112239083	0.105209903784226	0.0859579361755235	0.0610295828935983	0.0473436453492077	0.0206510927220999	0.0255363714653782	0.0129908241447272	0.141874566812994	0.0955173008691144	0.00737566354404781	9999	0.106902515584579	1.00182732188713	0.806383
